label,x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7,x_8,y_8,x_9,y_9,x_10,y_10,x_11,y_11,x_12,y_12,x_13,y_13,x_14,y_14,x_15,y_15,x_16,y_16,x_17,y_17,x_18,y_18,x_19,y_19,x_20,y_20
A,0.0,0.0,-0.0265466570854187,-0.07083863019943237,-0.06950855255126953,-0.12984532117843628,-0.11428749561309814,-0.16175848245620728,-0.14151042699813843,-0.15392744541168213,-0.12375771999359131,-0.1331244707107544,-0.1719578504562378,-0.10249167680740356,-0.15338990092277527,-0.08679401874542236,-0.1315646469593048,-0.08874273300170898,-0.13215771317481995,-0.08288908004760742,-0.1706848442554474,-0.05495482683181763,-0.15188699960708618,-0.040019214153289795,-0.13037237524986267,-0.042953431606292725,-0.1348097324371338,-0.027411222457885742,-0.16837835311889648,-0.01143956184387207,-0.1497313380241394,0.0009201169013977051,-0.12856563925743103,-0.0007594823837280273,-0.13288649916648865,0.029201507568359375,-0.1642034947872162,0.02819979190826416,-0.1445980668067932,0.037246644496917725,-0.1253778636455536,0.03842085599899292
A,0.0,0.0,-0.02639979124069214,-0.07172596454620361,-0.06891697645187378,-0.1298447847366333,-0.11493751406669617,-0.16213181614875793,-0.14469099044799805,-0.15261885523796082,-0.12584713101387024,-0.13390076160430908,-0.1731838583946228,-0.10463279485702515,-0.15569522976875305,-0.08910202980041504,-0.1349194347858429,-0.09002697467803955,-0.13499704003334045,-0.08407050371170044,-0.1718485951423645,-0.056515395641326904,-0.15342822670936584,-0.0426863431930542,-0.1326356828212738,-0.04571235179901123,-0.13751766085624695,-0.028794288635253906,-0.16896289587020874,-0.012559771537780762,-0.15054970979690552,-0.0009506344795227051,-0.1298728585243225,-0.002735733985900879,-0.1352016031742096,0.027366697788238525,-0.16588661074638367,0.026144027709960938,-0.1467609703540802,0.03484034538269043,-0.1276097595691681,0.035952866077423096
A,0.0,0.0,-0.02692657709121704,-0.07128822803497314,-0.07033443450927734,-0.13075321912765503,-0.11713692545890808,-0.16248375177383423,-0.14816874265670776,-0.15077650547027588,-0.12715855240821838,-0.13271579146385193,-0.17441219091415405,-0.10271704196929932,-0.15749308466911316,-0.08747780323028564,-0.13665246963500977,-0.08902716636657715,-0.13570550084114075,-0.08308207988739014,-0.1725102663040161,-0.054195523262023926,-0.15462997555732727,-0.04060631990432739,-0.1341463029384613,-0.04465585947036743,-0.13790246844291687,-0.027754247188568115,-0.16986477375030518,-0.010476529598236084,-0.15172603726387024,0.0009303689002990723,-0.13120660185813904,-0.0017238855361938477,-0.1356917917728424,0.028494596481323242,-0.16658377647399902,0.02794349193572998,-0.1477872133255005,0.03638201951980591,-0.12887811660766602,0.03683328628540039
A,0.0,0.0,-0.028224170207977295,-0.07221275568008423,-0.07125353813171387,-0.1301490068435669,-0.11643525958061218,-0.16251453757286072,-0.1462247371673584,-0.15252181887626648,-0.12756815552711487,-0.1358075737953186,-0.1762062907218933,-0.10550636053085327,-0.15868225693702698,-0.08907687664031982,-0.13759812712669373,-0.08992534875869751,-0.13661623001098633,-0.08594238758087158,-0.17412987351417542,-0.05654066801071167,-0.1557472050189972,-0.04169511795043945,-0.13479897379875183,-0.04514795541763306,-0.13887450098991394,-0.029965519905090332,-0.17220336198806763,-0.012728571891784668,-0.15364933013916016,-3.3020973205566406e-05,-0.1327831745147705,-0.0018727779388427734,-0.13619568943977356,0.027124345302581787,-0.16824829578399658,0.026901721954345703,-0.14879992604255676,0.035934627056121826,-0.12946683168411255,0.03693670034408569
A,0.0,0.0,-0.026565968990325928,-0.07109808921813965,-0.07005560398101807,-0.1306895911693573,-0.11762413382530212,-0.16193503141403198,-0.15041539072990417,-0.14952236413955688,-0.12621137499809265,-0.1311815083026886,-0.17466336488723755,-0.10123288631439209,-0.15833115577697754,-0.08588433265686035,-0.13738131523132324,-0.08734142780303955,-0.134874165058136,-0.08186662197113037,-0.1734301745891571,-0.052743494510650635,-0.15607088804244995,-0.038768231868743896,-0.13533622026443481,-0.0424157977104187,-0.13703444600105286,-0.026947617530822754,-0.1715952455997467,-0.009454965591430664,-0.15329810976982117,0.0020919442176818848,-0.13232362270355225,-0.0002894401550292969,-0.1347137987613678,0.028864800930023193,-0.16728642582893372,0.029612720012664795,-0.14823070168495178,0.03792166709899902,-0.1292041838169098,0.037765443325042725
A,0.0,0.0,-0.02590125799179077,-0.07041716575622559,-0.0693211555480957,-0.1318281590938568,-0.11808627843856812,-0.16232913732528687,-0.15179014205932617,-0.1465548872947693,-0.12462934851646423,-0.13031506538391113,-0.17421191930770874,-0.10200917720794678,-0.15848201513290405,-0.08740556240081787,-0.1374797523021698,-0.08887022733688354,-0.13359791040420532,-0.08112359046936035,-0.17402774095535278,-0.054565489292144775,-0.15675705671310425,-0.040644705295562744,-0.13548415899276733,-0.0435100793838501,-0.13614439964294434,-0.02677178382873535,-0.1725604236125946,-0.010985970497131348,-0.15414699912071228,0.0006008744239807129,-0.13250568509101868,-0.0013396739959716797,-0.1341022253036499,0.028950154781341553,-0.16851186752319336,0.02824223041534424,-0.14935442805290222,0.036509811878204346,-0.12956535816192627,0.036655426025390625
A,0.0,0.0,-0.024682581424713135,-0.07091283798217773,-0.06767219305038452,-0.13213887810707092,-0.11614394187927246,-0.16400650143623352,-0.14983630180358887,-0.15113049745559692,-0.1227656900882721,-0.13073164224624634,-0.17390766739845276,-0.10561364889144897,-0.15849393606185913,-0.09056490659713745,-0.13671955466270447,-0.09110832214355469,-0.13253545761108398,-0.08168935775756836,-0.17451035976409912,-0.05731934309005737,-0.15746665000915527,-0.0434841513633728,-0.13625335693359375,-0.046058714389801025,-0.1360328495502472,-0.027639031410217285,-0.17287114262580872,-0.013418912887573242,-0.15497338771820068,-0.0021253228187561035,-0.13361027836799622,-0.0035877227783203125,-0.1348266899585724,0.02736639976501465,-0.16898155212402344,0.026281654834747314,-0.15060660243034363,0.0343051552772522,-0.131285160779953,0.034667253494262695
A,0.0,0.0,-0.024509429931640625,-0.07051068544387817,-0.06798285245895386,-0.13276398181915283,-0.11695283651351929,-0.16569530963897705,-0.15123137831687927,-0.1502237319946289,-0.12378239631652832,-0.13154953718185425,-0.17358994483947754,-0.1087990403175354,-0.15844589471817017,-0.09268087148666382,-0.13712728023529053,-0.09234976768493652,-0.13409459590911865,-0.0823943018913269,-0.17460525035858154,-0.05880320072174072,-0.15776726603507996,-0.04431062936782837,-0.13680514693260193,-0.04651433229446411,-0.13769716024398804,-0.02822214365005493,-0.1732667088508606,-0.013832449913024902,-0.15548187494277954,-0.002117753028869629,-0.13420116901397705,-0.003435492515563965,-0.13649660348892212,0.026598751544952393,-0.16947126388549805,0.02636319398880005,-0.15094304084777832,0.03486591577529907,-0.1313941478729248,0.035272419452667236
A,0.0,0.0,-0.02544534206390381,-0.06959134340286255,-0.0698319673538208,-0.13246911764144897,-0.11918863654136658,-0.16521424055099487,-0.15175297856330872,-0.1464405059814453,-0.12530723214149475,-0.12769556045532227,-0.17461133003234863,-0.10362190008163452,-0.1590668261051178,-0.08840769529342651,-0.13770902156829834,-0.08916503190994263,-0.13515302538871765,-0.07824134826660156,-0.17531916499137878,-0.05492687225341797,-0.15754365921020508,-0.0412520170211792,-0.1359887719154358,-0.043848514556884766,-0.13822466135025024,-0.024245142936706543,-0.17405515909194946,-0.010723471641540527,-0.15559357404708862,0.000424802303314209,-0.13384467363357544,-0.0012739300727844238,-0.13654139637947083,0.030233681201934814,-0.1701805591583252,0.02901148796081543,-0.15150320529937744,0.036990344524383545,-0.13166478276252747,0.03711515665054321
A,0.0,0.0,-0.024174153804779053,-0.07253408432006836,-0.06704819202423096,-0.13463905453681946,-0.1160510778427124,-0.16828447580337524,-0.14672714471817017,-0.1513882279396057,-0.1241186261177063,-0.12936237454414368,-0.1725793480873108,-0.10329544544219971,-0.15637636184692383,-0.08848345279693604,-0.1359873116016388,-0.0898507833480835,-0.13358646631240845,-0.0796998143196106,-0.1733051836490631,-0.05588918924331665,-0.1554098129272461,-0.04246491193771362,-0.13457030057907104,-0.04505431652069092,-0.13635075092315674,-0.025253236293792725,-0.17178142070770264,-0.012757658958435059,-0.15354028344154358,-0.0022047758102416992,-0.13242021203041077,-0.0034685730934143066,-0.1345895528793335,0.02960515022277832,-0.1680084466934204,0.02647465467453003,-0.1497160792350769,0.03390836715698242,-0.13068991899490356,0.034351646900177
